,Energy & Transportation,Manufacturing,Industrial Applications & Services,Financials,Life Sciences,Real Estate & Construction,Trade & Services,Technology,No Industry,None Industry
LEAF,0,0,0,0,0,0,0,1,0,0
GNT,0,0,0,0,0,0,0,0,0,1
IBIO,0,0,0,0,1,0,0,0,0,0
MCC,0,0,0,0,0,0,0,0,0,1
PFX,0,0,0,0,0,0,0,0,0,1
VIXM,0,0,0,0,0,0,0,0,1,0
VIXY,0,0,0,0,0,0,0,0,1,0
XTL,0,0,0,0,0,0,0,0,1,0
XHE,0,0,0,0,0,0,0,0,1,0
SCHM,0,0,0,0,0,0,0,0,1,0
SCHH,0,0,0,0,0,0,0,0,1,0
WTMF,0,0,0,0,0,0,0,0,1,0
AGRO,0,1,0,0,0,0,0,0,0,0
INXN,0,0,0,0,0,0,0,1,0,0
NLSN,0,0,0,0,0,0,1,0,0,0
AFT,0,0,0,0,0,0,0,0,0,1
ASEA,0,0,0,0,0,0,0,0,1,0
GPL,0,0,0,0,0,0,0,0,0,1
KMI,1,0,0,0,0,0,0,0,0,0
NPTN,0,1,0,0,0,0,0,0,0,0
JMF,0,0,0,0,0,0,0,0,0,1
EDIV,0,0,0,0,0,0,0,0,1,0
EBND,0,0,0,0,0,0,0,0,1,0
INN,0,0,0,0,0,1,0,0,0,0
WRN,1,0,0,0,0,0,0,0,0,0
ITT,0,0,0,0,0,0,0,1,0,0
ACRX,0,0,0,0,1,0,0,0,0,0
ECYT,0,0,0,0,1,0,0,0,0,0
FLDM,0,0,1,0,0,0,0,0,0,0
FONE,0,0,0,0,0,0,0,0,1,0
NXTG,0,0,0,0,0,0,0,0,1,0
GEVO,0,0,1,0,0,0,0,0,0,0
PCOM,0,0,0,0,0,0,0,1,0,0
PCRX,0,0,0,0,1,0,0,0,0,0
SUNS,0,0,0,0,0,0,0,0,0,1
WMGI,0,0,1,0,0,0,0,0,0,0
USCR,0,1,0,0,0,0,0,0,0,0
APO,0,0,0,1,0,0,0,0,0,0
XTNT,0,0,1,0,0,0,0,0,0,0
BCX,0,0,0,0,0,0,0,0,0,1
TYNS,0,0,0,0,0,0,0,0,1,0
SAGG,0,0,0,0,0,0,0,0,1,0
TYBS,0,0,0,0,0,0,0,0,1,0
FF,0,0,1,0,0,0,0,0,0,0
ARGT,0,0,0,0,0,0,0,0,1,0
HCA,0,0,1,0,0,0,0,0,0,0
HII,0,1,0,0,0,0,0,0,0,0
CROP,0,0,0,0,0,0,0,0,1,0
HDV,0,0,0,0,0,0,0,0,1,0
MCHI,0,0,0,0,0,0,0,0,1,0
MX,0,1,0,0,0,0,0,0,0,0
BKLN,0,0,0,0,0,0,0,0,1,0
SJB,0,0,0,0,0,0,0,0,1,0
ALD,0,0,0,0,0,0,0,0,1,0
CSOD,0,0,0,0,0,0,0,1,0,0
SREV,0,0,0,0,0,0,0,1,0,0
AL,0,0,0,0,0,0,1,0,0,0
UAN,0,0,1,0,0,0,0,0,0,0
ELLI,0,0,0,0,0,0,0,1,0,0
FPA,0,0,0,0,0,0,0,0,1,0
FEP,0,0,0,0,0,0,0,0,1,0
FLN,0,0,0,0,0,0,0,0,1,0
FBZ,0,0,0,0,0,0,0,0,1,0
KSU,1,0,0,0,0,0,0,0,0,0
FCA,0,0,0,0,0,0,0,0,1,0
FJP,0,0,0,0,0,0,0,0,1,0
FKO,0,0,0,0,0,0,0,0,1,0
FDT,0,0,0,0,0,0,0,0,1,0
FEM,0,0,0,0,0,0,0,0,1,0
FNY,0,0,0,0,0,0,0,0,1,0
FNK,0,0,0,0,0,0,0,0,1,0
FYC,0,0,0,0,0,0,0,0,1,0
FYT,0,0,0,0,0,0,0,0,1,0
